N,P,K,temperature,humidity,ph,rainfall,label
15.73,124.86,184.17,25.17,90.41,5.9,152.94,apple
20.12,126.1,174.43,20.86,75.97,6.07,89.37,grapes
18.33,32.03,22.39,29.49,35.67,4.93,130.96,mango
25.09,10.81,26.85,26.94,89.22,5.0,170.22,coconut
19.73,68.45,18.68,19.11,73.46,6.59,58.31,lentil
25.34,42.3,16.61,27.4,87.71,7.16,45.24,mungbean
94.41,24.82,63.29,27.1,89.3,5.84,25.78,muskmelon
31.87,11.96,30.57,27.72,92.75,5.4,151.45,coconut
20.02,26.21,8.45,23.65,100.0,7.08,108.65,orange
95.87,18.8,44.64,29.06,95.48,6.26,24.45,muskmelon
20.96,10.54,8.86,23.31,96.3,6.67,139.03,orange
23.52,82.53,23.61,29.92,43.92,6.09,120.71,pigeonpeas
24.67,136.75,194.4,19.04,99.1,6.05,119.81,apple
33.59,57.8,80.76,14.32,8.28,7.15,43.94,chickpea
43.18,60.87,14.95,31.98,73.15,7.7,95.06,blackgram
94.83,24.81,29.94,22.44,64.51,6.74,233.37,coffee
27.61,69.87,24.53,19.39,19.59,6.48,109.32,kidneybeans
23.37,11.41,25.21,25.29,99.11,6.45,180.88,coconut
44.29,64.91,78.11,13.3,18.55,6.6,95.04,chickpea
21.05,45.14,25.97,25.57,57.28,6.43,75.64,mothbeans
13.22,59.65,23.55,26.71,51.36,6.31,72.35,mothbeans
26.5,114.18,210.27,20.65,81.41,5.53,95.76,grapes
58.4,68.73,94.28,19.07,20.85,7.01,62.92,chickpea
21.72,19.99,12.01,24.71,93.5,7.07,99.93,orange
5.67,69.47,29.42,27.98,53.92,6.77,31.58,lentil
40.04,60.41,20.88,26.38,53.24,7.65,81.56,blackgram
85.91,87.47,51.33,23.71,81.76,5.98,115.33,banana
20.94,13.36,14.91,29.32,95.32,5.21,189.19,coconut
27.29,15.17,8.75,23.95,89.4,6.47,132.95,orange
78.82,46.64,24.06,20.41,74.59,5.33,172.87,rice
22.56,49.57,25.79,31.31,89.83,6.13,37.56,mungbean
17.73,10.88,32.62,27.83,83.21,5.68,199.02,coconut
17.07,138.66,199.66,24.56,81.27,5.9,54.37,grapes
28.1,35.11,24.47,31.99,52.3,6.21,45.06,mothbeans
20.97,14.07,26.03,26.52,100.0,5.77,140.67,coconut
22.04,64.44,23.94,19.91,20.05,5.68,145.41,kidneybeans
30.59,10.24,32.78,28.6,92.65,5.87,183.28,coconut
14.32,54.56,22.33,29.73,48.11,6.97,56.28,mothbeans
106.06,69.58,42.99,26.59,76.37,5.57,67.56,banana
25.79,15.47,13.31,19.59,85.54,6.09,125.72,orange
99.42,22.67,40.12,29.7,77.31,5.69,50.29,watermelon
110.81,33.82,41.06,23.47,67.58,7.44,152.03,coffee
40.1,67.1,12.16,28.92,64.06,7.27,74.92,blackgram
108.66,16.23,52.8,29.49,88.74,6.22,26.9,muskmelon
105.74,35.44,29.71,24.73,54.24,5.86,161.11,coffee
97.3,11.23,47.15,27.25,97.24,6.56,35.29,muskmelon
32.37,131.67,203.87,17.76,95.99,5.82,111.77,apple
86.99,81.88,41.34,26.21,84.63,6.1,75.36,banana
80.37,43.94,53.93,16.65,67.77,6.98,71.81,maize
117.83,14.05,29.55,30.09,90.63,6.15,19.11,muskmelon
37.88,60.94,18.19,33.78,74.31,7.24,67.62,blackgram
15.62,133.37,241.42,22.91,88.54,5.96,102.66,apple
34.29,60.74,24.98,31.77,69.61,7.47,38.34,blackgram
24.12,50.44,22.84,31.83,47.56,6.9,51.22,mothbeans
80.7,16.51,48.52,25.54,81.75,7.25,52.93,watermelon
103.29,74.51,50.04,27.62,71.57,5.92,98.94,banana
96.07,15.18,30.19,26.27,85.51,6.54,46.17,watermelon
27.74,60.61,26.24,27.25,67.96,6.73,42.43,mothbeans
73.47,44.39,41.5,20.1,81.66,6.63,164.01,rice
24.37,11.0,27.86,27.08,91.08,5.83,177.0,coconut
18.24,17.41,30.09,29.44,38.27,6.49,84.25,mango
26.72,126.34,183.26,24.77,79.33,6.06,45.82,grapes
12.86,21.61,47.59,18.13,90.12,5.31,104.47,pomegranate
14.96,61.4,18.26,17.14,20.31,5.85,97.01,kidneybeans
27.28,123.31,196.09,25.9,89.44,5.69,61.3,grapes
85.65,49.53,37.06,26.8,80.09,6.31,185.55,jute
82.35,52.89,30.22,23.5,91.11,5.67,148.76,rice
126.7,53.45,40.89,25.98,83.14,6.63,103.88,cotton
24.63,51.03,21.11,28.3,81.97,6.92,54.4,mungbean
37.93,57.31,23.71,27.6,64.93,7.08,78.73,blackgram
17.83,69.95,17.53,23.87,22.05,6.32,110.23,kidneybeans
73.34,41.86,40.93,23.44,86.36,6.61,227.16,rice
21.4,125.83,213.9,20.19,72.07,6.0,71.73,grapes
19.59,155.32,204.71,20.9,91.37,5.97,146.92,apple
18.17,15.38,37.57,26.13,84.98,5.53,149.27,pomegranate
24.81,50.12,16.17,26.2,59.46,6.31,132.28,pigeonpeas
87.94,50.85,48.34,25.07,75.15,6.01,109.33,maize
92.23,54.27,44.66,23.93,66.91,5.92,117.45,maize
16.94,129.65,201.65,21.63,87.51,5.35,71.03,apple
18.68,55.34,16.51,26.9,52.28,6.22,169.3,pigeonpeas
23.39,8.35,35.82,26.59,100.0,6.39,159.84,coconut
11.97,78.23,18.3,27.21,41.32,6.21,129.46,pigeonpeas
55.17,48.61,50.94,31.83,89.9,6.26,127.49,papaya
52.02,53.18,33.51,32.28,99.39,6.44,162.77,papaya
45.01,57.88,94.22,19.98,16.96,7.94,83.19,chickpea
18.03,24.26,4.6,22.16,92.39,6.88,131.48,orange
85.38,31.73,41.88,20.15,84.23,6.1,148.69,rice
31.88,8.8,5.03,23.43,99.08,7.08,124.04,orange
22.85,66.87,18.46,23.69,65.19,7.09,76.42,lentil
19.09,30.75,25.08,34.18,50.45,5.98,89.65,mango
111.34,82.07,31.31,24.79,83.82,5.38,98.47,banana
102.2,77.38,35.68,28.87,69.14,5.78,103.91,banana
81.99,35.43,44.0,25.62,78.98,6.88,164.05,jute
21.37,122.6,207.01,24.9,79.68,6.79,56.76,grapes
48.69,60.43,35.09,33.88,92.37,6.43,147.5,papaya
16.18,123.98,224.73,27.62,91.99,5.91,93.38,apple
18.02,121.03,211.05,18.57,79.76,6.57,70.13,grapes
86.85,13.73,41.95,24.16,87.16,6.55,74.69,watermelon
119.0,44.68,51.4,25.48,71.54,7.08,77.78,cotton
12.1,70.57,25.71,22.41,20.29,6.27,123.55,kidneybeans
93.25,15.52,53.24,26.28,83.84,6.88,50.05,watermelon
29.13,57.93,26.64,25.69,61.08,6.24,118.52,pigeonpeas
18.83,58.59,16.09,23.16,64.93,7.09,63.27,lentil
98.15,19.35,46.51,27.35,91.31,7.34,6.66,muskmelon
98.38,88.27,51.63,24.2,79.55,5.51,102.84,banana
9.55,74.06,23.83,31.59,62.65,6.68,32.69,lentil
11.17,135.01,205.15,24.89,91.71,5.65,152.73,apple
15.08,69.21,24.98,19.74,22.28,6.03,85.57,kidneybeans
23.56,24.53,33.11,29.37,54.55,5.57,112.03,mango
98.62,56.49,33.99,25.37,61.28,6.72,101.7,maize
20.2,15.14,3.43,21.04,96.79,6.92,115.57,orange
13.39,31.78,28.71,35.08,46.84,6.14,116.64,mango
17.46,11.66,31.0,26.31,100.0,5.73,176.76,coconut
92.74,34.98,34.91,24.08,85.81,6.72,132.58,rice
19.98,16.88,9.01,21.81,98.48,6.56,123.73,orange
108.03,45.09,37.27,25.27,63.15,6.25,111.8,coffee
127.71,45.32,61.38,22.97,85.01,7.2,68.4,cotton
17.91,62.41,25.82,26.39,55.63,6.17,138.71,pigeonpeas
43.87,66.95,12.35,31.46,65.68,7.56,57.38,blackgram
91.84,18.08,48.37,27.52,89.95,6.87,27.5,muskmelon
22.62,37.39,16.61,24.7,87.2,6.5,25.68,mungbean
93.02,41.15,29.59,24.55,45.04,6.93,126.5,coffee
96.04,36.34,40.86,25.62,73.99,5.87,135.95,rice
83.67,21.21,37.13,26.49,94.08,6.46,23.09,muskmelon
46.1,52.67,52.07,38.37,94.2,6.66,126.38,papaya
46.24,64.78,52.02,33.81,92.87,6.86,156.24,papaya
26.43,37.85,22.98,27.6,94.01,7.0,32.88,mungbean
21.96,135.64,198.76,20.9,91.43,6.4,63.96,grapes
20.92,36.39,32.69,33.66,47.84,5.5,90.49,mango
20.76,45.11,18.44,28.79,85.61,6.62,51.79,mungbean
33.57,72.41,83.16,13.3,14.1,7.07,72.69,chickpea
65.0,49.6,46.52,18.43,64.14,6.7,126.48,maize
15.63,26.56,28.4,29.97,47.36,6.24,83.03,mango
29.64,21.15,35.85,23.06,100.0,5.19,87.94,pomegranate
19.36,20.58,31.13,26.07,93.47,6.29,202.27,coconut
20.64,35.3,28.99,32.84,39.25,5.61,95.55,mango
65.66,56.92,42.6,24.58,67.88,6.59,77.48,maize
26.59,14.11,31.42,25.79,99.12,5.56,216.94,coconut
22.78,53.23,23.56,30.02,51.17,6.81,36.34,mothbeans
96.08,74.79,43.83,25.92,80.09,6.06,101.19,banana
24.86,18.37,34.38,23.89,94.23,5.69,172.38,coconut
94.63,30.49,34.88,21.15,80.05,5.81,225.41,rice
19.86,69.44,16.32,27.06,39.4,6.56,128.55,pigeonpeas
85.62,24.49,25.56,20.61,63.24,6.58,186.16,coffee
43.14,70.43,79.27,16.41,25.86,7.12,66.68,chickpea
26.33,21.59,22.28,28.11,99.17,6.21,112.11,coconut
13.95,85.65,24.1,26.33,56.49,6.28,207.98,pigeonpeas
55.35,56.82,49.19,32.52,93.02,6.88,169.46,papaya
99.44,11.28,53.0,27.46,94.12,6.68,18.92,muskmelon
17.89,42.46,15.46,26.43,78.5,6.62,39.11,mungbean
93.37,38.76,34.43,22.55,83.21,6.59,156.62,rice
109.2,33.09,20.82,27.09,54.34,6.89,130.83,coffee
40.25,66.86,17.64,29.22,66.44,7.11,52.27,blackgram
16.92,23.36,27.33,26.9,100.0,4.65,106.56,pomegranate
20.98,136.17,214.54,22.82,86.39,5.58,116.32,apple
107.84,14.86,54.58,22.34,75.97,6.41,32.18,watermelon
45.7,58.55,75.47,16.13,22.3,7.43,75.77,chickpea
90.82,15.14,54.19,27.29,98.51,6.31,46.01,watermelon
109.4,88.0,35.71,29.23,77.71,6.29,85.55,banana
100.86,33.15,33.51,27.42,42.78,7.3,169.06,coffee
94.2,36.55,31.88,23.57,56.37,6.85,156.96,coffee
25.52,69.22,22.29,20.73,24.79,6.71,124.42,kidneybeans
22.62,45.79,18.49,29.33,53.08,7.26,62.85,mothbeans
79.35,11.8,50.07,21.27,83.51,5.94,70.68,watermelon
23.34,67.56,19.13,30.37,78.64,7.6,79.78,blackgram
118.38,79.39,58.79,25.12,82.1,5.06,82.57,banana
96.52,53.62,37.85,21.71,71.42,6.32,63.7,cotton
23.34,75.98,19.78,16.08,24.82,5.14,111.18,kidneybeans
92.55,55.69,44.82,21.0,68.4,5.94,99.97,maize
82.79,19.16,45.13,29.49,97.27,6.42,14.77,muskmelon
26.08,18.23,11.32,24.08,94.94,6.7,124.64,orange
16.5,24.91,37.52,19.1,99.36,5.98,153.21,pomegranate
75.1,32.42,29.11,23.31,63.06,5.9,100.21,maize
115.27,14.8,40.73,28.5,96.3,6.64,24.03,muskmelon
29.79,121.65,194.71,25.83,81.35,5.8,88.17,grapes
40.43,58.44,64.93,31.65,93.98,6.8,128.26,papaya
92.12,17.92,54.76,27.02,95.3,5.78,14.58,muskmelon
15.1,17.71,10.42,25.19,93.18,6.83,111.34,orange
102.83,14.5,50.54,29.22,99.85,6.45,24.59,muskmelon
63.38,59.28,42.23,20.85,87.96,7.09,162.15,jute
24.95,146.71,218.51,24.93,76.05,5.79,104.81,grapes
88.96,29.4,49.4,26.0,76.26,6.37,231.88,jute
84.48,48.24,47.03,25.74,75.68,6.5,158.11,jute
94.79,23.45,27.58,26.46,52.4,6.78,147.64,coffee
109.58,57.8,49.38,25.08,86.17,6.13,95.32,cotton
23.85,12.94,37.4,17.27,86.47,6.63,146.19,pomegranate
98.11,38.06,30.6,20.7,82.13,6.81,76.35,cotton
27.75,63.51,20.5,22.27,30.43,5.57,104.66,kidneybeans
24.07,20.1,9.75,22.77,98.37,6.99,111.51,orange
106.63,33.35,37.21,23.54,59.36,6.9,161.56,coffee
24.77,70.96,20.73,20.79,18.55,6.14,82.76,kidneybeans
31.62,144.02,201.19,24.43,78.49,5.93,75.57,grapes
27.06,138.41,217.5,23.34,88.01,5.45,45.01,grapes
36.05,69.13,61.4,18.71,24.61,7.12,85.2,chickpea
19.01,13.84,20.75,35.1,43.44,6.37,76.32,mango
16.71,17.37,35.4,21.19,93.14,5.88,97.67,pomegranate
55.48,60.16,50.65,34.07,89.61,7.25,142.96,papaya
11.3,67.14,19.39,19.06,30.04,6.02,119.52,kidneybeans
103.05,16.24,26.1,21.01,54.3,7.28,123.42,coffee
14.15,17.53,31.36,25.67,95.77,5.98,80.15,pomegranate
15.47,46.71,19.34,30.69,95.2,6.86,39.9,mungbean
45.46,47.92,41.7,32.46,86.91,6.82,131.44,papaya
15.83,84.27,22.35,21.43,15.57,5.47,129.76,kidneybeans
23.58,44.81,22.8,26.39,47.03,6.48,41.73,mothbeans
27.31,14.35,29.51,26.39,87.98,6.39,197.36,coconut
18.48,71.2,25.02,25.76,64.67,7.34,76.46,lentil
11.94,21.8,33.87,19.54,90.01,6.06,66.35,pomegranate
20.06,12.68,28.86,29.49,55.51,6.2,106.53,mango
17.24,67.85,26.19,25.98,78.21,7.0,41.24,lentil
27.18,66.73,25.48,30.32,64.8,6.75,94.37,blackgram
99.59,82.71,46.47,27.93,86.75,6.26,118.74,banana
102.98,15.25,56.7,24.88,93.59,6.29,67.89,watermelon
83.15,89.49,45.63,27.66,86.2,5.48,104.1,banana
85.33,17.7,49.18,26.09,89.16,6.69,47.36,watermelon
18.31,13.96,10.33,21.68,94.9,6.36,127.8,orange
66.67,34.45,33.16,22.58,73.71,5.98,37.46,maize
15.89,65.0,25.07,26.98,66.25,7.2,42.54,lentil
109.97,86.67,64.09,28.04,89.82,6.36,68.88,banana
19.43,67.86,24.24,22.76,21.99,6.13,90.96,kidneybeans
61.18,47.73,53.4,36.46,94.74,6.17,110.96,papaya
19.81,52.01,14.75,26.39,85.64,6.71,42.77,mungbean
31.79,15.86,29.91,25.84,92.86,5.21,130.29,coconut
129.35,39.77,37.29,24.07,80.19,6.59,116.75,cotton
17.82,22.97,32.64,19.88,83.09,6.47,106.69,pomegranate
46.2,52.67,52.35,34.3,94.54,6.71,146.98,papaya
85.56,31.22,45.07,23.47,67.62,6.52,64.89,maize
121.2,37.55,52.06,25.89,75.49,7.39,86.88,cotton
16.2,155.03,213.94,23.04,90.43,5.68,143.85,apple
24.5,133.37,199.03,24.88,82.79,4.92,64.17,grapes
95.35,19.07,23.41,24.38,66.77,6.51,141.11,coffee
106.32,36.25,30.04,26.38,64.03,7.21,186.48,coffee
107.1,14.85,37.69,24.68,91.15,5.99,79.03,watermelon
54.47,68.94,43.69,25.27,81.39,6.13,151.15,jute
44.49,76.01,15.44,31.17,67.17,6.42,96.51,blackgram
25.29,29.86,35.88,28.43,49.27,5.78,90.13,mango
122.94,52.09,49.93,25.33,79.36,7.52,97.06,cotton
67.24,30.93,32.64,23.99,82.71,6.85,182.91,rice
23.2,9.05,6.83,25.78,100.0,7.48,130.74,orange
25.19,143.51,183.93,25.05,78.39,6.16,82.39,grapes
36.48,82.8,11.37,30.77,60.03,7.46,72.48,blackgram
23.37,42.16,22.61,28.24,84.58,6.94,23.57,mungbean
96.14,13.23,58.02,18.47,82.79,6.48,43.07,watermelon
99.06,39.4,61.54,21.55,56.06,6.23,73.09,maize
17.36,68.7,19.68,29.15,63.56,6.92,35.62,lentil
16.08,68.11,19.03,20.96,25.16,6.04,100.71,kidneybeans
14.58,147.55,184.56,23.26,85.28,6.59,66.41,grapes
84.0,32.76,36.97,25.6,80.22,6.87,162.66,rice
20.41,15.63,4.72,25.49,96.27,6.58,103.99,orange
43.99,51.14,79.65,23.99,17.53,7.33,90.96,chickpea
30.48,124.51,215.72,22.7,83.13,6.09,81.91,grapes
103.02,14.86,50.94,29.46,96.77,6.45,8.52,muskmelon
26.21,157.97,197.97,21.22,86.8,6.08,115.37,apple
23.15,68.73,15.34,22.8,57.82,7.7,44.84,lentil
18.1,44.76,14.74,29.72,60.15,6.62,56.22,mothbeans
17.07,56.43,24.4,25.17,67.13,6.89,56.77,mothbeans
84.52,34.86,54.96,24.49,71.72,5.44,120.73,maize
39.78,62.72,84.65,19.43,17.06,6.98,82.6,chickpea
22.1,15.63,34.14,17.72,92.12,6.69,98.92,pomegranate
119.22,19.05,57.22,18.83,84.02,6.94,62.09,watermelon
18.37,17.85,9.69,19.68,87.75,7.42,111.68,orange
30.25,48.6,12.33,27.81,69.44,7.25,38.84,mothbeans
89.54,46.62,37.1,24.45,76.05,6.45,124.34,maize
25.28,60.96,6.3,23.47,57.53,5.84,126.48,pigeonpeas
17.89,14.68,40.9,21.8,88.12,6.45,141.22,pomegranate
11.86,64.21,23.82,30.38,53.69,5.41,142.03,pigeonpeas
29.07,128.54,189.65,26.84,82.23,6.44,57.67,grapes
15.87,44.57,17.94,25.44,55.41,6.45,55.79,mothbeans
14.15,56.58,28.64,19.08,21.9,5.64,86.11,kidneybeans
20.17,44.04,23.11,28.12,58.34,6.86,56.99,mothbeans
87.27,49.78,42.02,24.72,78.27,7.07,164.91,jute
14.18,150.26,221.21,24.56,91.05,5.4,99.85,apple
126.14,35.52,39.49,23.08,86.02,6.66,89.14,cotton
22.83,79.06,21.92,25.96,68.12,7.25,24.17,lentil
82.97,29.25,26.84,24.1,54.9,6.43,121.21,coffee
78.48,100.16,46.6,27.28,82.86,6.29,110.48,banana
20.19,128.27,208.88,22.11,80.51,5.94,61.93,grapes
21.85,45.35,14.28,30.98,88.13,6.52,50.18,mungbean
38.25,64.87,54.76,32.07,96.85,6.71,162.37,papaya
78.68,48.17,49.9,22.24,65.92,6.61,98.52,maize
100.99,28.12,21.99,29.59,56.44,6.83,140.21,coffee
86.8,15.83,32.25,25.83,75.58,6.95,65.19,watermelon
22.11,72.81,25.85,24.66,53.53,5.88,73.52,pigeonpeas
43.15,70.69,20.6,29.62,61.7,7.22,63.0,blackgram
21.0,48.82,29.46,29.67,74.11,6.83,48.57,mungbean
38.62,75.72,79.74,19.59,16.22,7.16,51.86,chickpea
10.42,69.23,13.12,25.73,46.81,5.83,132.99,pigeonpeas
87.14,41.93,35.09,25.9,79.8,6.52,210.76,rice
110.59,31.1,26.94,21.7,52.44,6.53,136.54,coffee
109.96,29.53,27.83,25.47,60.07,7.23,127.62,coffee
86.35,57.27,26.07,21.36,58.93,6.26,85.71,maize
19.12,11.53,14.1,24.09,97.72,6.35,148.03,orange
96.6,21.15,58.82,30.17,91.33,5.64,23.52,muskmelon
23.6,119.85,191.94,22.73,88.4,5.97,106.85,apple
50.36,50.52,52.32,35.39,91.09,6.35,138.56,papaya
34.58,76.76,16.61,29.9,77.48,6.99,86.58,blackgram
88.98,16.21,48.54,26.42,87.31,6.17,47.09,watermelon
40.81,51.94,82.13,14.81,17.8,6.68,90.86,chickpea
11.09,14.73,9.1,25.45,89.98,7.11,114.52,orange
17.52,17.82,44.49,12.98,91.02,5.98,146.15,pomegranate
33.54,47.2,54.15,32.43,98.0,6.95,150.49,papaya
17.13,131.96,211.43,19.6,92.0,6.08,96.51,apple
19.22,77.82,27.33,18.37,21.83,5.84,85.28,kidneybeans
12.24,69.09,19.83,19.02,22.34,6.91,121.69,kidneybeans
111.71,17.02,41.22,24.48,74.54,6.02,58.63,watermelon
61.8,51.52,32.58,25.09,78.31,7.39,180.14,jute
23.37,25.86,36.91,30.14,62.42,6.65,100.64,mango
21.12,28.6,36.85,21.38,86.7,6.07,64.65,pomegranate
31.31,75.15,14.31,28.65,62.46,7.07,72.85,blackgram
101.42,48.49,46.72,25.46,82.76,7.53,98.95,cotton
32.86,61.0,17.46,19.39,20.04,5.44,49.75,kidneybeans
28.48,9.66,33.68,26.6,97.7,5.47,175.73,coconut
68.04,43.9,36.24,23.02,84.4,6.72,226.62,rice
8.22,74.51,31.86,25.87,58.07,7.01,30.63,lentil
68.88,58.36,33.48,19.35,61.6,6.41,97.44,maize
23.14,74.15,89.77,19.93,13.48,7.57,97.21,chickpea
113.73,18.7,37.14,26.94,94.79,6.25,41.2,muskmelon
22.62,9.68,6.68,21.67,94.26,6.85,108.29,orange
16.27,24.32,29.87,22.7,96.11,6.04,122.76,pomegranate
43.82,68.0,80.32,20.88,9.19,6.51,85.48,chickpea
22.58,80.93,27.12,24.61,68.45,6.84,52.34,lentil
76.93,38.32,51.32,22.07,63.02,6.15,105.58,maize
27.91,59.61,14.78,19.92,21.64,5.44,98.9,kidneybeans
25.38,12.08,25.26,26.5,99.99,5.87,166.74,coconut
108.28,13.15,46.7,27.57,92.16,6.36,24.33,muskmelon
104.93,16.87,53.8,25.52,86.78,6.42,42.58,watermelon
13.03,40.67,18.8,25.01,61.12,7.87,43.86,mothbeans
87.4,36.0,33.63,24.21,62.11,5.49,111.1,maize
80.14,47.24,43.4,21.59,57.42,6.12,81.35,maize
23.22,51.19,25.4,28.09,57.18,7.27,64.67,mothbeans
45.84,55.3,80.2,17.34,18.37,7.29,50.93,chickpea
46.41,59.19,17.91,29.41,68.15,6.25,81.36,blackgram
82.54,37.73,42.99,25.51,71.06,7.42,218.82,jute
47.98,55.12,37.0,35.54,91.02,6.41,114.79,papaya
4.68,56.78,29.43,18.91,14.06,6.29,105.27,kidneybeans
82.82,15.69,33.63,31.59,94.39,6.25,13.9,muskmelon
20.21,15.21,3.43,25.3,100.0,7.51,131.71,orange
40.4,59.86,17.71,29.4,61.82,7.27,71.52,blackgram
32.55,60.37,12.7,21.13,64.38,7.26,53.1,lentil
86.75,33.37,46.17,25.83,68.26,6.01,87.32,maize
22.28,52.81,32.61,28.34,52.32,7.5,65.51,mothbeans
25.09,19.96,35.05,20.66,92.55,5.87,95.64,pomegranate
21.2,45.81,16.07,26.16,62.41,7.05,31.15,mothbeans
108.53,19.61,57.7,22.74,76.5,6.5,85.79,watermelon
86.12,20.82,40.37,26.09,93.08,7.15,59.85,watermelon
25.77,52.66,18.2,28.42,77.31,6.28,52.78,mungbean
73.19,49.78,38.76,22.14,80.24,6.77,214.62,rice
103.81,16.34,64.0,29.6,89.0,5.94,30.67,muskmelon
15.91,75.65,18.37,26.65,46.74,5.23,115.04,pigeonpeas
91.29,39.09,33.28,21.35,85.25,6.87,221.73,rice
120.56,37.34,21.32,24.37,61.0,6.6,212.48,coffee
15.37,41.23,34.72,27.64,48.35,7.47,55.23,mothbeans
42.57,69.91,92.62,14.8,16.78,7.75,105.29,chickpea
95.76,86.72,41.09,26.78,85.45,6.08,129.95,banana
13.61,46.8,15.7,25.89,58.04,6.88,46.21,mothbeans
30.01,71.28,76.27,25.12,10.05,7.38,57.44,chickpea
25.16,62.35,19.37,21.43,61.72,7.49,47.24,lentil
97.45,13.93,50.05,24.44,81.94,7.14,55.98,watermelon
21.26,32.53,26.8,29.41,58.16,5.19,120.03,mango
73.42,55.24,43.18,26.69,82.95,7.06,222.53,jute
36.17,60.68,50.51,31.89,90.13,6.86,177.76,papaya
19.13,68.27,21.88,29.02,67.6,7.08,46.62,lentil
44.08,75.99,55.38,35.68,90.72,7.04,178.67,papaya
93.96,17.79,40.48,25.47,77.29,6.09,26.78,watermelon
33.09,78.35,69.2,22.81,16.87,6.84,66.45,chickpea
24.94,42.11,13.83,25.48,78.17,6.34,30.33,mungbean
72.27,23.93,54.45,32.92,88.87,5.79,25.07,muskmelon
18.92,60.49,17.3,19.65,22.36,6.04,126.62,kidneybeans
15.91,55.4,21.02,29.37,80.99,6.09,30.91,mungbean
51.37,57.58,43.32,32.71,95.37,6.5,153.99,papaya
30.16,66.74,25.14,26.89,48.82,5.77,152.57,pigeonpeas
26.26,51.19,17.34,25.34,56.2,6.36,47.62,mothbeans
102.15,28.22,31.06,26.48,65.32,6.5,153.83,coffee
15.86,41.75,23.22,28.27,83.76,7.48,53.29,mungbean
106.09,26.01,33.66,24.07,89.24,6.37,65.88,watermelon
24.25,124.61,213.2,27.46,79.08,5.27,78.99,grapes
36.36,56.91,68.72,17.48,14.08,7.45,89.05,chickpea
76.9,18.88,50.04,26.63,88.58,6.43,53.07,watermelon
22.73,26.25,22.72,34.52,43.58,6.06,99.0,mango
15.6,15.88,4.51,23.2,93.48,7.13,91.93,orange
15.96,14.45,14.61,24.06,96.52,7.13,117.92,orange
64.1,23.42,31.06,22.08,80.53,7.47,244.24,rice
78.43,39.67,34.76,23.89,79.73,5.89,148.88,rice
21.34,130.69,208.34,23.09,80.66,5.96,96.46,grapes
89.07,48.41,31.89,24.88,61.49,5.37,73.87,maize
20.11,53.3,22.86,27.01,51.81,6.39,56.96,mothbeans
20.91,71.85,23.25,22.41,76.37,6.75,35.5,lentil
118.57,41.06,52.37,24.41,83.15,7.47,106.2,cotton
75.76,35.84,46.5,23.48,73.13,6.76,176.9,rice
22.08,125.19,192.51,20.63,88.63,5.93,121.36,apple
10.42,17.11,5.15,22.19,89.45,6.61,110.71,orange
21.09,120.54,230.71,23.95,88.99,6.36,60.62,grapes
12.25,62.91,14.63,23.55,44.23,5.58,166.51,pigeonpeas
18.47,18.29,28.9,27.41,94.34,5.48,167.18,coconut
114.49,28.1,24.5,20.08,64.17,7.02,165.32,coffee
14.23,18.62,12.83,21.98,87.13,6.21,97.7,orange
11.77,18.59,10.9,22.08,93.31,6.31,139.25,orange
19.13,75.37,15.67,16.76,24.46,6.05,114.6,kidneybeans
97.54,36.45,30.34,25.26,76.53,6.7,77.1,cotton
96.15,16.28,49.77,27.21,86.56,6.08,70.47,watermelon
95.59,84.27,51.63,28.21,76.9,6.28,86.87,banana
97.0,71.85,51.42,26.17,75.24,5.41,73.72,banana
103.63,18.22,46.63,28.04,84.65,6.68,26.61,muskmelon
23.8,19.06,13.9,23.6,94.55,7.87,103.97,orange
24.31,118.5,193.0,22.4,79.5,5.97,51.72,grapes
20.58,40.93,19.35,27.76,81.28,6.05,42.62,mungbean
11.33,71.0,11.6,19.78,20.27,4.97,112.78,kidneybeans
28.63,130.81,197.03,18.3,80.37,5.46,73.98,grapes
72.13,26.51,33.39,23.5,81.1,6.37,193.63,rice
96.51,53.79,38.56,22.23,89.31,5.95,164.21,rice
41.8,61.14,51.83,32.67,100.0,6.64,136.02,papaya
30.87,40.67,27.05,26.63,53.48,6.65,59.42,mothbeans
40.31,70.32,19.35,31.7,61.89,6.71,58.42,blackgram
72.06,43.52,44.19,23.55,74.94,5.34,202.17,rice
20.94,44.8,31.13,27.37,87.49,6.4,74.78,mungbean
22.45,64.93,20.31,20.22,22.86,6.11,116.1,kidneybeans
39.03,65.64,23.12,26.23,72.97,7.43,86.78,blackgram
20.31,52.15,11.23,27.82,80.32,7.41,61.13,mungbean
80.68,42.31,45.05,20.09,80.4,6.26,174.44,rice
19.95,75.3,10.57,22.55,72.37,7.06,0.0,lentil
100.52,87.01,35.14,29.57,78.25,6.21,117.41,banana
19.81,68.58,14.07,15.63,22.6,5.93,129.19,kidneybeans
74.82,52.09,45.1,21.6,76.93,6.52,151.34,rice
59.51,73.85,48.45,33.67,92.23,7.39,90.17,papaya
67.75,28.26,43.89,23.86,77.58,6.46,90.71,maize
23.7,73.55,33.02,19.25,20.17,6.11,121.38,kidneybeans
106.7,88.78,51.3,26.56,87.65,5.81,112.83,banana
41.79,68.02,82.26,15.9,16.64,6.66,82.7,chickpea
39.82,63.02,71.43,16.94,12.58,7.43,57.0,chickpea
19.07,16.89,32.43,27.61,50.89,5.31,78.01,mango
97.45,20.35,50.98,26.85,89.17,6.66,24.17,muskmelon
